GEOID,county_type
06003,census_only
06015,census_only
06023,census_only
06027,census_only
01079,census_only
01129,census_only
04012,census_only
30015,census_only
30041,census_only
35035,census_only
35053,census_only
35055,census_only
36033,census_only
37075,census_only
37093,census_only
37099,census_only
38053,census_only
19171,census_only
37165,census_only
37173,census_only
37185,census_only
38071,census_only
51036,census_only
55053,census_only
26153,census_only
27017,census_only
27031,census_only
55113,census_only
55115,census_only
55125,census_only
27095,census_only
22085,census_only
22109,census_only
30073,census_only
30071,census_only
31031,census_only
53009,census_only
16011,census_only
46015,census_only
46009,census_only
28099,census_only
28079,census_only
28101,census_only
31107,census_only
46037,census_only
46065,census_only
46047,census_only
46053,census_only
46069,census_only
53047,census_only
53065,census_only
26013,census_only
26033,census_only
26095,census_only
26097,census_only
46101,census_only
46103,census_only
46117,census_only
46123,census_only
46129,census_only
31161,census_only
32007,census_only
32021,census_only
55007,census_only
55003,census_only
55041,census_only
16061,reservation_only
40065,reservation_only
40073,reservation_only
40027,reservation_only
40057,reservation_only
49051,reservation_only
41065,reservation_only
53077,reservation_only
40055,reservation_only
40141,reservation_only
30089,reservation_only
40045,reservation_only
40017,reservation_only
40009,reservation_only
35061,reservation_only
26073,reservation_only
35001,reservation_only
56017,reservation_only
40149,reservation_only
08007,reservation_only
40109,reservation_only
04019,reservation_only
49013,reservation_only
08067,census_reservation
08083,census_reservation
04009,census_reservation
04007,census_reservation
04005,census_reservation
04021,census_reservation
30047,census_reservation
35039,census_reservation
35043,census_reservation
38025,census_reservation
20013,census_reservation
38055,census_reservation
38061,census_reservation
20085,census_reservation
40061,census_reservation
40063,census_reservation
40067,census_reservation
40069,census_reservation
40071,census_reservation
40087,census_reservation
40085,census_reservation
40077,census_reservation
40079,census_reservation
40081,census_reservation
40089,census_reservation
40091,census_reservation
40095,census_reservation
40097,census_reservation
40099,census_reservation
40101,census_reservation
40103,census_reservation
40121,census_reservation
40105,census_reservation
40107,census_reservation
40111,census_reservation
40113,census_reservation
40115,census_reservation
40117,census_reservation
40137,census_reservation
40123,census_reservation
40125,census_reservation
40127,census_reservation
40129,census_reservation
40131,census_reservation
40133,census_reservation
40135,census_reservation
40143,census_reservation
40145,census_reservation
40147,census_reservation
41031,census_reservation
49047,census_reservation
40011,census_reservation
40005,census_reservation
40013,census_reservation
40015,census_reservation
40023,census_reservation
40029,census_reservation
40031,census_reservation
40019,census_reservation
40033,census_reservation
40035,census_reservation
40037,census_reservation
40039,census_reservation
40041,census_reservation
40043,census_reservation
40049,census_reservation
40051,census_reservation
40075,census_reservation
27007,census_reservation
27005,census_reservation
27021,census_reservation
27029,census_reservation
56013,census_reservation
30105,census_reservation
53019,census_reservation
16009,census_reservation
46023,census_reservation
16069,census_reservation
46091,census_reservation
30087,cluster_census
37155,cluster_census
38079,cluster_census
04001,all_class
04017,all_class
27087,all_class
