total_pop,pop_density,housing_density,County,hh_income,land_use,State,EPA_region,native_prop,Climate_Zone
54571,91.8,37.2,01001,53255,3,1,4,0.00425134228802844,Southeast
182265,114.6,65.5,01003,50147,4,1,4,0.006671604531862947,Southeast
27457,31,13.4,01005,33219,6,1,4,0.004151946680263685,Southeast
22915,36.8,14.4,01007,41770,2,1,4,0.0027929303949378137,Southeast
57322,88.9,37,01009,45549,2,1,4,0.005355709849621437,Southeast
10914,17.5,7.2,01011,31602,6,1,4,0.002107385010078798,Southeast
20947,27,12.8,01013,30659,6,1,4,0.0028643719864419725,Southeast
118572,195.7,88,01015,38407,4,1,4,0.004554194919542557,Southeast
34215,57.4,28.5,01017,31467,5,1,4,0.0020166593599298555,Southeast
25989,46.9,29.4,01019,40690,6,1,4,0.005194505367655547,Southeast
43643,63,27.8,01021,39486,2,1,4,0.0035515432028045734,Southeast
13859,15.2,8,01023,31076,6,1,4,0.0012987950068547515,Southeast
25833,20.9,10.2,01025,27439,6,1,4,0.003987148221267371,Southeast
13932,23.1,11.2,01027,35595,6,1,4,0.003947746195808211,Southeast
14972,26.7,12,01029,36077,6,1,4,0.003406358535933743,Southeast
49948,73.6,32.9,01031,42253,5,1,4,0.012913429967165853,Southeast
54428,91.8,43.5,01033,39610,4,1,4,0.004905563313000662,Southeast
13228,15.6,8.3,01035,26944,6,1,4,0.003326277592984578,Southeast
11539,17.7,10,01037,35560,5,1,4,0.0034665048964381663,Southeast
37765,36.6,18.3,01039,33852,6,1,4,0.005666622534092414,Southeast
13906,22.8,11.1,01041,35140,6,1,4,0.004098950093484826,Southeast
80406,109.4,50.4,01043,38567,5,1,4,0.00507424819043355,Southeast
50251,89.6,40.4,01045,43353,5,1,4,0.0073829376529820304,Southeast
43820,44.8,20.6,01047,26029,5,1,4,0.0019397535371976267,Southeast
71109,91.5,40,01049,35065,6,1,4,0.013626967050584315,Southeast
79303,128.2,52.8,01051,53128,3,1,4,0.003593811079026014,Southeast
38319,40.5,17.4,01053,31927,6,1,4,0.03361256817766643,Southeast
104430,195.2,88.7,01055,36422,4,1,4,0.004289954993775735,Southeast
17241,27.5,13.4,01057,34560,6,1,4,0.003016066353459776,Southeast
31704,50,22.1,01059,33942,6,1,4,0.006781478677769366,Southeast
26790,46.6,22.1,01061,34140,4,1,4,0.00836132885405002,Southeast
